inserts,deletes,started,ended,comment,size
0,10,2021-09-27 09:37:21.339024,2021-09-27 09:37:26.835931,Complete (KID 1706),10
5,0,2021-09-27 09:35:30.097892,2021-09-27 09:36:02.355176,Complete (KID 1706),10
0,10,2021-09-27 09:33:35.265159,2021-09-27 09:33:40.096236,Complete (KID 1706),10
5,0,2021-09-27 09:31:44.0273,2021-09-27 09:32:15.78222,Complete (KID 1706),10
0,10,2021-09-27 09:29:49.519688,2021-09-27 09:29:54.027385,Complete (KID 1706),10
5,0,2021-09-27 09:27:59.163488,2021-09-27 09:28:30.999418,Complete (KID 1706),10
0,10,2021-09-27 09:26:04.155598,2021-09-27 09:26:08.658156,Complete (KID 1706),10
5,0,2021-09-27 09:24:12.892095,2021-09-27 09:24:45.17188,Complete (KID 1706),10
0,10,2021-09-27 09:22:17.834538,2021-09-27 09:22:22.388097,Complete (KID 1706),10
5,0,2021-09-27 09:20:26.720487,2021-09-27 09:20:58.35134,Complete (KID 1706),10
0,10,2021-09-27 09:18:32.386192,2021-09-27 09:18:37.177106,Complete (KID 1706),10
5,0,2021-09-27 09:16:41.261093,2021-09-27 09:17:12.405929,Complete (KID 1706),10
0,10,2021-09-27 09:14:46.741473,2021-09-27 09:14:51.260932,Complete (KID 1706),10
5,0,2021-09-27 09:12:55.389951,2021-09-27 09:13:26.758447,Complete (KID 1706),10
0,10,2021-09-27 09:11:00.835204,2021-09-27 09:11:05.346583,Complete (KID 1706),10
5,0,2021-09-27 09:09:09.65636,2021-09-27 09:09:40.35564,Complete (KID 1706),10
0,10,2021-09-27 09:07:14.629948,2021-09-27 09:07:19.159981,Complete (KID 1706),10
5,0,2021-09-27 09:05:23.874743,2021-09-27 09:05:55.655301,Complete (KID 1706),10
0,10,2021-09-27 09:03:28.982749,2021-09-27 09:03:33.835864,Complete (KID 1706),10
5,0,2021-09-27 09:01:38.276671,2021-09-27 09:02:10.501465,Complete (KID 1706),10
0,10,2021-09-27 08:59:43.778956,2021-09-27 08:59:48.277375,Complete (KID 1706),5
5,0,2021-09-27 08:57:52.616806,2021-09-27 08:58:09.287496,Complete (KID 1706),5
0,10,2021-09-27 08:55:59.594066,2021-09-27 08:56:04.114547,Complete (KID 1706),5
5,0,2021-09-27 08:54:08.248217,2021-09-27 08:54:25.104047,Complete (KID 1706),5
0,10,2021-09-27 08:52:15.678148,2021-09-27 08:52:20.206209,Complete (KID 1706),5
5,0,2021-09-27 08:50:24.157852,2021-09-27 08:50:41.692232,Complete (KID 1706),5
0,10,2021-09-27 08:48:31.470568,2021-09-27 08:48:36.156109,Complete (KID 1706),5
5,0,2021-09-27 08:46:40.166591,2021-09-27 08:46:57.477611,Complete (KID 1706),5
0,10,2021-09-27 08:44:47.669493,2021-09-27 08:44:52.164743,Complete (KID 1706),5
5,0,2021-09-27 08:42:56.462749,2021-09-27 08:43:13.675199,Complete (KID 1706),5
0,10,2021-09-27 08:41:03.853828,2021-09-27 08:41:08.423299,Complete (KID 1706),5
5,0,2021-09-27 08:39:12.061855,2021-09-27 08:39:29.861981,Complete (KID 1706),5
0,10,2021-09-27 08:37:19.598838,2021-09-27 08:37:24.061708,Complete (KID 1706),5
5,0,2021-09-27 08:35:28.370148,2021-09-27 08:35:46.107013,Complete (KID 1706),5
0,10,2021-09-27 08:33:35.198869,2021-09-27 08:33:39.869273,Complete (KID 1706),5
5,0,2021-09-27 08:31:44.264941,2021-09-27 08:32:01.709111,Complete (KID 1706),5
0,10,2021-09-27 08:29:51.283451,2021-09-27 08:29:55.768117,Complete (KID 1706),5
5,0,2021-09-27 08:28:00.088898,2021-09-27 08:28:18.252759,Complete (KID 1706),5
0,10,2021-09-27 08:26:07.611786,2021-09-27 08:26:12.087872,Complete (KID 1706),5
5,0,2021-09-27 08:24:15.945853,2021-09-27 08:24:34.119836,Complete (KID 1706),5
0,400,2021-09-26 10:09:22.150942,2021-09-26 10:09:26.751971,Complete (KID 1706),0.5
200,0,2021-09-26 10:07:30.820303,2021-09-26 10:07:57.162023,Complete (KID 1706),0.5
0,300,2021-09-26 10:05:33.774267,2021-09-26 10:05:38.319333,Complete (KID 1706),0.5
150,0,2021-09-26 10:03:42.594382,2021-09-26 10:04:03.740474,Complete (KID 1706),0.5
0,200,2021-09-26 10:01:46.044938,2021-09-26 10:01:50.585182,Complete (KID 1706),0.5
100,0,2021-09-26 09:59:54.836535,2021-09-26 10:00:11.051262,Complete (KID 1706),0.5
0,180,2021-09-26 09:58:00.583104,2021-09-26 09:58:05.331589,Complete (KID 1706),0.5
90,0,2021-09-26 09:56:09.418888,2021-09-26 09:56:24.587351,Complete (KID 1706),0.5
0,160,2021-09-26 09:54:15.426246,2021-09-26 09:54:19.924176,Complete (KID 1706),0.5
80,0,2021-09-26 09:52:24.342073,2021-09-26 09:52:38.4348,Complete (KID 1706),0.5
0,140,2021-09-26 09:50:30.72205,2021-09-26 09:50:35.303011,Complete (KID 1706),0.5
70,0,2021-09-26 09:48:39.486477,2021-09-26 09:48:52.727527,Complete (KID 1706),0.5
0,120,2021-09-26 09:46:46.498585,2021-09-26 09:46:50.983306,Complete (KID 1706),0.5
60,0,2021-09-26 09:44:55.210881,2021-09-26 09:45:07.499107,Complete (KID 1706),0.5
0,100,2021-09-26 09:43:02.123263,2021-09-26 09:43:06.709196,Complete (KID 1706),0.5
50,0,2021-09-26 09:41:11.044568,2021-09-26 09:41:22.126528,Complete (KID 1706),0.5
0,90,2021-09-26 09:39:18.047947,2021-09-26 09:39:22.546101,Complete (KID 1706),0.5
45,0,2021-09-26 09:37:26.906605,2021-09-26 09:37:37.509719,Complete (KID 1706),0.5
0,80,2021-09-26 09:35:34.409644,2021-09-26 09:35:38.90618,Complete (KID 1706),0.5
40,0,2021-09-26 09:33:42.753662,2021-09-26 09:33:52.912551,Complete (KID 1706),0.5
0,70,2021-09-26 09:31:50.804653,2021-09-26 09:31:55.256983,Complete (KID 1706),0.5
35,0,2021-09-26 09:29:59.189836,2021-09-26 09:30:08.805619,Complete (KID 1706),0.5
0,60,2021-09-26 09:28:07.17772,2021-09-26 09:28:11.688559,Complete (KID 1706),0.5
30,0,2021-09-26 09:26:15.941724,2021-09-26 09:26:25.180727,Complete (KID 1706),0.5
0,50,2021-09-26 09:24:23.894124,2021-09-26 09:24:28.407007,Complete (KID 1706),0.5
25,0,2021-09-26 09:22:32.681011,2021-09-26 09:22:41.39641,Complete (KID 1706),0.5
0,40,2021-09-26 09:20:40.65479,2021-09-26 09:20:45.183252,Complete (KID 1706),0.5
